,city,city_ascii,state_id,state_name,lat,lng,population,density,timezone,id
60,Omaha,Omaha,NE,Nebraska,41.2627,-96.0529,791432,1307.0,America/Chicago,1840009315
61,Albuquerque,Albuquerque,NM,New Mexico,35.1054,-106.6465,762853,1155.0,America/Denver,1840019176
62,Birmingham,Birmingham,AL,Alabama,33.5279,-86.7971,753721,553.0,America/Chicago,1840006507
63,Sarasota,Sarasota,FL,Florida,27.3387,-82.5432,727388,1518.0,America/New_York,1840015988
64,Dayton,Dayton,OH,Ohio,39.7805,-84.2003,723844,971.0,America/New_York,1840034249
65,Rochester,Rochester,NY,New York,43.168,-77.6162,720189,2227.0,America/New_York,1840000373
66,Fresno,Fresno,CA,California,36.783,-119.7939,702486,1763.0,America/Los_Angeles,1840020319
67,Tulsa,Tulsa,OK,Oklahoma,36.1283,-95.9042,698349,786.0,America/Chicago,1840021672
68,Allentown,Allentown,PA,Pennsylvania,40.5961,-75.4756,688658,2664.0,America/New_York,1840001044
69,Concord,Concord,CA,California,37.9722,-122.0016,667250,1633.0,America/Los_Angeles,1840018905
70,Cape Coral,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690.0,America/New_York,1840015130
71,Charleston,Charleston,SC,South Carolina,32.8168,-79.9687,645413,461.0,America/New_York,1840015163
72,Colorado Springs,Colorado Springs,CO,Colorado,38.8674,-104.7605,621332,932.0,America/Denver,1840018825
73,Springfield,Springfield,MA,Massachusetts,42.1155,-72.5395,615728,1861.0,America/New_York,1840000466
74,Grand Rapids,Grand Rapids,MI,Michigan,42.9619,-85.6562,615273,1719.0,America/Detroit,1840002928
75,Ogden,Ogden,UT,Utah,41.2279,-111.9682,615015,1221.0,America/Denver,1840020135
76,Columbia,Columbia,SC,South Carolina,34.0378,-80.9036,609689,378.0,America/New_York,1840014730
77,Baton Rouge,Baton Rouge,LA,Louisiana,30.442,-91.1311,605449,993.0,America/Chicago,1840013941
78,Knoxville,Knoxville,TN,Tennessee,35.9692,-83.9496,603685,733.0,America/New_York,1840014486
79,Mission Viejo,Mission Viejo,CA,California,33.6096,-117.6551,600802,2091.0,America/Los_Angeles,1840020580
80,Albany,Albany,NY,New York,42.6664,-73.7987,590823,1747.0,America/New_York,1840000417
81,Akron,Akron,OH,Ohio,41.0798,-81.5219,570375,1230.0,America/New_York,1840000791
82,New Haven,New Haven,CT,Connecticut,41.3113,-72.9246,566683,2693.0,America/New_York,1840004850
83,Provo,Provo,UT,Utah,40.2457,-111.6457,563884,1082.0,America/Denver,1840020174
84,Bakersfield,Bakersfield,CA,California,35.3529,-119.0359,556892,979.0,America/Los_Angeles,1840019148
85,Murrieta,Murrieta,CA,California,33.5719,-117.1909,524133,1310.0,America/Los_Angeles,1840020553
86,Des Moines,Des Moines,IA,Iowa,41.5725,-93.6105,519180,943.0,America/Chicago,1840007069
87,Worcester,Worcester,MA,Massachusetts,42.2705,-71.8079,516483,1913.0,America/New_York,1840000434
88,Mesa,Mesa,AZ,Arizona,33.4015,-111.7178,508918,1416.0,America/Phoenix,1840020566
89,Toledo,Toledo,OH,Ohio,41.6638,-83.5827,498645,1319.0,America/New_York,1840000572
90,Palm Bay,Palm Bay,FL,Florida,27.9631,-80.6593,496640,508.0,America/New_York,1840015094
91,Staten Island,Staten Island,NY,New York,40.5834,-74.1496,495747,3286.0,America/New_York,1840034032
92,Wichita,Wichita,KS,Kansas,37.6895,-97.3443,484715,930.0,America/Chicago,1840001686
93,Harrisburg,Harrisburg,PA,Pennsylvania,40.2752,-76.8843,472261,2342.0,America/New_York,1840001288
94,Long Beach,Long Beach,CA,California,33.7977,-118.167,462081,3518.0,America/Los_Angeles,1840020490
95,Little Rock,Little Rock,AR,Arkansas,34.7256,-92.3577,446814,637.0,America/Chicago,1840015509
96,Madison,Madison,WI,Wisconsin,43.0822,-89.393,445499,1253.0,America/Chicago,1840002915
97,Greenville,Greenville,SC,South Carolina,34.8354,-82.3646,441303,905.0,America/New_York,1840013501
98,Reno,Reno,NV,Nevada,39.5497,-119.8483,440547,890.0,America/Los_Angeles,1840020121
99,Port St. Lucie,Port St. Lucie,FL,Florida,27.2796,-80.3884,435182,634.0,America/New_York,1840015119
100,Lancaster,Lancaster,PA,Pennsylvania,40.042,-76.3012,430621,3169.0,America/New_York,1840003718
101,Spokane,Spokane,WA,Washington,47.6671,-117.433,426849,1230.0,America/Los_Angeles,1840021093
102,Denton,Denton,TX,Texas,33.2175,-97.1418,425901,559.0,America/Chicago,1840019390
103,Poughkeepsie,Poughkeepsie,NY,New York,41.695,-73.9211,423386,2277.0,America/New_York,1840000500
104,Oakland,Oakland,CA,California,37.7904,-122.2166,422575,2917.0,America/Los_Angeles,1840020296
105,Winston-Salem,Winston-Salem,NC,North Carolina,36.1029,-80.261,416394,715.0,America/New_York,1840015324
106,Syracuse,Syracuse,NY,New York,43.0407,-76.1437,407942,2196.0,America/New_York,1840000378
107,Boise,Boise,ID,Idaho,43.6005,-116.2308,407550,1047.0,America/Boise,1840027142
108,Chattanooga,Chattanooga,TN,Tennessee,35.066,-85.2481,404766,491.0,America/New_York,1840014569
109,Augusta,Augusta,GA,Georgia,33.3645,-82.0708,404125,252.0,America/New_York,1840029462
110,Arlington,Arlington,TX,Texas,32.6998,-97.125,397269,1600.0,America/Chicago,1840019422
111,Stockton,Stockton,CA,California,37.9765,-121.3109,394919,1930.0,America/Los_Angeles,1840021517
112,Durham,Durham,NC,North Carolina,35.9792,-78.9022,391371,945.0,America/New_York,1840013364
113,Palm Coast,Palm Coast,FL,Florida,29.5389,-81.2457,386415,357.0,America/New_York,1840015064
114,Scranton,Scranton,PA,Pennsylvania,41.4044,-75.6649,380870,1174.0,America/New_York,1840003389
115,Aurora,Aurora,CO,Colorado,39.7083,-104.7237,379434,914.0,America/Denver,1840018794
116,Oxnard,Oxnard,CA,California,34.1964,-119.1815,378990,3023.0,America/Los_Angeles,1840020474
117,Modesto,Modesto,CA,California,37.6375,-121.0028,376717,1923.0,America/Los_Angeles,1840020287
118,Indio,Indio,CA,California,33.7346,-116.2346,367174,1045.0,America/Los_Angeles,1840019304
119,Kissimmee,Kissimmee,FL,Florida,28.3041,-81.4169,366003,1299.0,America/New_York,1840015109
120,Youngstown,Youngstown,OH,Ohio,41.0993,-80.6463,363541,730.0,America/New_York,1840003563
121,Pensacola,Pensacola,FL,Florida,30.4413,-87.1911,360711,901.0,America/Chicago,1840015005
122,Lancaster,Lancaster,CA,California,34.6935,-118.1753,353619,645.0,America/Los_Angeles,1840020516
123,Anaheim,Anaheim,CA,California,33.839,-117.8574,353085,2711.0,America/Los_Angeles,1840019322
124,Fayetteville,Fayetteville,AR,Arkansas,36.0714,-94.1661,350995,617.0,America/Chicago,1840013368
125,Jackson,Jackson,MS,Mississippi,32.3157,-90.2125,350373,566.0,America/Chicago,1840014895
126,Victorville,Victorville,CA,California,34.5277,-117.3536,350275,644.0,America/Los_Angeles,1840021731
127,Bonita Springs,Bonita Springs,FL,Florida,26.3558,-81.7859,347581,580.0,America/New_York,1840014227
128,Greensboro,Greensboro,NC,North Carolina,36.0956,-79.8271,343505,877.0,America/New_York,1840013356
129,Corpus Christi,Corpus Christi,TX,Texas,27.7254,-97.3767,343031,776.0,America/Chicago,1840019718
130,Flint,Flint,MI,Michigan,43.0236,-83.6921,339283,1108.0,America/Detroit,1840002949
131,Fayetteville,Fayetteville,NC,North Carolina,35.085,-78.9772,333366,550.0,America/New_York,1840013490
132,Santa Ana,Santa Ana,CA,California,33.7367,-117.8819,332610,4697.0,America/Los_Angeles,1840021964
133,Fort Wayne,Fort Wayne,IN,Indiana,41.0888,-85.1436,329170,935.0,America/Indiana/Indianapolis,1840008261
134,Mobile,Mobile,AL,Alabama,30.6782,-88.1162,328610,525.0,America/Chicago,1840006009
135,Lansing,Lansing,MI,Michigan,42.7142,-84.5601,326380,1158.0,America/Detroit,1840003102
136,Ann Arbor,Ann Arbor,MI,Michigan,42.2759,-83.731,323593,1657.0,America/Detroit,1840003172
137,Huntsville,Huntsville,AL,Alabama,34.6981,-86.6412,317279,353.0,America/Chicago,1840005061
138,Lexington,Lexington,KY,Kentucky,38.0423,-84.4587,316743,438.0,America/New_York,1840015211
139,Santa Rosa,Santa Rosa,CA,California,38.4458,-122.7067,313875,1619.0,America/Los_Angeles,1840021488
140,Antioch,Antioch,CA,California,37.9787,-121.796,313532,1475.0,America/Los_Angeles,1840018903
141,Asheville,Asheville,NC,North Carolina,35.5707,-82.5537,312618,783.0,America/New_York,1840013411
142,Henderson,Henderson,NV,Nevada,36.0133,-115.0381,309955,1126.0,America/Los_Angeles,1840020361
143,St. Paul,St. Paul,MN,Minnesota,44.9478,-93.1039,305877,2272.0,America/Chicago,1840008940
144,Fort Collins,Fort Collins,CO,Colorado,40.5477,-105.0656,304657,1120.0,America/Denver,1840020151
145,Lakeland,Lakeland,FL,Florida,28.0557,-81.9545,300268,643.0,America/New_York,1840015108
146,Springfield,Springfield,MO,Missouri,37.1943,-93.2916,295230,785.0,America/Chicago,1840009904
147,The Woodlands,The Woodlands,TX,Texas,30.1738,-95.5134,294943,1020.0,America/Chicago,1840019585
148,Shreveport,Shreveport,LA,Louisiana,32.4653,-93.7955,291388,680.0,America/Chicago,1840015768
149,Trenton,Trenton,NJ,New Jersey,40.2237,-74.7641,291085,4248.0,America/New_York,1840001383
150,Plano,Plano,TX,Texas,33.0502,-96.7486,288870,1555.0,America/Chicago,1840020662
151,Round Lake Beach,Round Lake Beach,IL,Illinois,42.3791,-88.0811,287012,2090.0,America/Chicago,1840011171
152,South Bend,South Bend,IN,Indiana,41.6767,-86.2696,285569,944.0,America/Indiana/Indianapolis,1840009241
153,Savannah,Savannah,GA,Georgia,32.0286,-81.1821,284429,525.0,America/New_York,1840015830
154,Newark,Newark,NJ,New Jersey,40.7245,-74.1725,281917,4508.0,America/New_York,1840002791
155,Davenport,Davenport,IA,Iowa,41.5565,-90.6053,281895,618.0,America/Chicago,1840007081
156,Myrtle Beach,Myrtle Beach,SC,South Carolina,33.7094,-78.8844,281180,552.0,America/New_York,1840014717
157,Lincoln,Lincoln,NE,Nebraska,40.8099,-96.6784,280780,1131.0,America/Chicago,1840009357
158,Rockford,Rockford,IL,Illinois,42.2596,-89.064,280337,881.0,America/Chicago,1840009132
159,Reading,Reading,PA,Pennsylvania,40.34,-75.9267,278693,3464.0,America/New_York,1840001185
160,Canton,Canton,OH,Ohio,40.8078,-81.3676,277769,1039.0,America/New_York,1840000963
161,Irvine,Irvine,CA,California,33.6772,-117.7738,272694,1604.0,America/Los_Angeles,1840019325
162,Eugene,Eugene,OR,Oregon,44.0564,-123.1174,270013,1489.0,America/Los_Angeles,1840020007
163,Chula Vista,Chula Vista,CA,California,32.6281,-117.0144,268779,2090.0,America/Los_Angeles,1840019350
164,St. Petersburg,St. Petersburg,FL,Florida,27.7931,-82.6652,264001,1648.0,America/New_York,1840015977
165,Salem,Salem,OR,Oregon,44.9233,-123.0244,263571,1359.0,America/Los_Angeles,1840021224
166,Lafayette,Lafayette,LA,Louisiana,30.2082,-92.0325,263551,876.0,America/Chicago,1840015044
167,Laredo,Laredo,TX,Texas,27.5625,-99.4874,262774,944.0,America/Chicago,1840021002
168,Jersey City,Jersey City,NJ,New Jersey,40.7184,-74.0686,262652,6878.0,America/New_York,1840003600
169,Santa Clarita,Santa Clarita,CA,California,34.4175,-118.4964,260999,1159.0,America/Los_Angeles,1840021864
170,Aguadilla,Aguadilla,PR,Puerto Rico,18.4382,-67.1537,260331,1681.0,America/Puerto_Rico,1630035605
171,Wilmington,Wilmington,NC,North Carolina,34.2099,-77.8866,260170,917.0,America/New_York,1840015576
172,Lubbock,Lubbock,TX,Texas,33.5657,-101.8879,257835,737.0,America/Chicago,1840020604
173,Chandler,Chandler,AZ,Arizona,33.2825,-111.8514,257076,1520.0,America/Phoenix,1840019309
174,Scottsdale,Scottsdale,AZ,Arizona,33.6872,-111.8651,254995,535.0,America/Phoenix,1840021940
175,Tallahassee,Tallahassee,FL,Florida,30.4551,-84.2527,254250,737.0,America/New_York,1840015913
176,Montgomery,Montgomery,AL,Alabama,32.3482,-86.2668,253540,480.0,America/Chicago,1840008353
177,Peoria,Peoria,IL,Illinois,40.752,-89.6154,253461,906.0,America/Chicago,1840009373
178,Glendale,Glendale,AZ,Arizona,33.5791,-112.2311,250290,1568.0,America/Phoenix,1840020563
179,Columbus,Columbus,GA,Georgia,32.51,-84.8771,249510,348.0,America/New_York,1840014887
180,Anchorage,Anchorage,AK,Alaska,61.1508,-149.1091,248902,66.0,America/Anchorage,1840023385
181,Gilbert,Gilbert,AZ,Arizona,33.31,-111.7463,248349,1398.0,America/Phoenix,1840021947
182,North Las Vegas,North Las Vegas,NV,Nevada,36.2883,-115.0888,247248,942.0,America/Los_Angeles,1840020363
183,Avondale,Avondale,AZ,Arizona,33.3873,-112.3235,247103,703.0,America/Phoenix,1840019310
184,McKinney,McKinney,TX,Texas,33.2016,-96.667,244536,1102.0,America/Chicago,1840020657
185,Norfolk,Norfolk,VA,Virginia,36.8945,-76.259,244300,1770.0,America/New_York,1840003869
186,Chesapeake,Chesapeake,VA,Virginia,36.6778,-76.3023,242647,276.0,America/New_York,1840003874
187,Kennewick,Kennewick,WA,Washington,46.1978,-119.1732,240876,1162.0,America/Los_Angeles,1840018481
188,Winter Haven,Winter Haven,FL,Florida,28.0118,-81.7014,240768,510.0,America/New_York,1840015970
189,Irving,Irving,TX,Texas,32.8583,-96.9702,240475,1386.0,America/Chicago,1840019438
190,Garland,Garland,TX,Texas,32.91,-96.6304,238622,1612.0,America/Chicago,1840020707
191,York,York,PA,Pennsylvania,39.9651,-76.7315,236818,3211.0,America/New_York,1840001472
192,Concord,Concord,NC,North Carolina,35.3933,-80.6369,236626,572.0,America/New_York,1840014559
193,Arlington,Arlington,VA,Virginia,38.8786,-77.1011,236434,3511.0,America/New_York,1840006112
194,Atlantic City,Atlantic City,NJ,New Jersey,39.3797,-74.4527,236314,1356.0,America/New_York,1840003798
195,Visalia,Visalia,CA,California,36.3276,-119.3269,235184,1354.0,America/Los_Angeles,1840021639
196,Fremont,Fremont,CA,California,37.5265,-121.9843,234829,1157.0,America/Los_Angeles,1840020292
197,Hialeah,Hialeah,FL,Florida,25.8696,-80.3045,233876,4184.0,America/New_York,1840015157
198,Nashua,Nashua,NH,New Hampshire,42.7491,-71.491,231409,1115.0,America/New_York,1840002984
199,Killeen,Killeen,TX,Texas,31.0753,-97.7297,231312,1045.0,America/Chicago,1840020854
200,Gulfport,Gulfport,MS,Mississippi,30.4274,-89.0704,230156,497.0,America/Chicago,1840013947
201,Brownsville,Brownsville,TX,Texas,25.9975,-97.458,229387,534.0,America/Matamoros,1840019743
202,Evansville,Evansville,IN,Indiana,37.9881,-87.5341,227338,965.0,America/Chicago,1840013730
203,Appleton,Appleton,WI,Wisconsin,44.278,-88.3892,225728,1150.0,America/Chicago,1840002400
204,Navarre,Navarre,FL,Florida,30.4174,-86.8907,223951,625.0,America/Chicago,1840027017
205,Bel Air South,Bel Air South,MD,Maryland,39.5022,-76.3113,222834,998.0,America/New_York,1840073592
206,Kalamazoo,Kalamazoo,MI,Michigan,42.2749,-85.5882,220561,1189.0,America/Detroit,1840003185
207,Bremerton,Bremerton,WA,Washington,47.5436,-122.7121,219538,560.0,America/Los_Angeles,1840018410
208,Spring Valley,Spring Valley,NV,Nevada,36.0952,-115.2636,218697,2378.0,America/Los_Angeles,1840033832
209,San Bernardino,San Bernardino,CA,California,34.1416,-117.2943,216784,1347.0,America/Los_Angeles,1840021728
210,Roanoke,Roanoke,VA,Virginia,37.2785,-79.9581,216388,900.0,America/New_York,1840003858
211,Spartanburg,Spartanburg,SC,South Carolina,34.9442,-81.9251,216021,720.0,America/New_York,1840015482
212,Tacoma,Tacoma,WA,Washington,47.2431,-122.4531,215766,1675.0,America/Los_Angeles,1840021129
213,Enterprise,Enterprise,NV,Nevada,36.0091,-115.2278,214591,1255.0,America/Los_Angeles,1840033827
214,Green Bay,Green Bay,WI,Wisconsin,44.5148,-87.9895,214438,887.0,America/Chicago,1840002344
215,Portland,Portland,ME,Maine,43.6773,-70.2715,213986,1195.0,America/New_York,1840000327
216,Thousand Oaks,Thousand Oaks,CA,California,34.1914,-118.8756,212806,891.0,America/Los_Angeles,1840021844
217,Fontana,Fontana,CA,California,34.0968,-117.4599,212704,1906.0,America/Los_Angeles,1840020402
218,Hickory,Hickory,NC,North Carolina,35.741,-81.3223,211042,515.0,America/New_York,1840014524
219,Moreno Valley,Moreno Valley,CA,California,33.9244,-117.2045,208751,1570.0,America/Los_Angeles,1840020552
220,Deltona,Deltona,FL,Florida,28.905,-81.2137,205914,950.0,America/New_York,1840015072
221,Fargo,Fargo,ND,North Dakota,46.8651,-96.8292,205472,957.0,America/Chicago,1840000177
222,Santa Barbara,Santa Barbara,CA,California,34.4285,-119.7202,205215,1799.0,America/Los_Angeles,1840021829
223,College Station,College Station,TX,Texas,30.5852,-96.2959,203848,873.0,America/Chicago,1840019570
224,Gainesville,Gainesville,FL,Florida,29.6804,-82.3459,203541,816.0,America/New_York,1840014022
225,Amarillo,Amarillo,TX,Texas,35.1984,-101.8316,202902,751.0,America/Chicago,1840019156
226,Norwich,Norwich,CT,Connecticut,41.5495,-72.0882,201726,538.0,America/New_York,1840004828
227,Olympia,Olympia,WA,Washington,47.0417,-122.8959,200836,1108.0,America/Los_Angeles,1840019865
228,Yonkers,Yonkers,NY,New York,40.9466,-73.8673,200183,4292.0,America/New_York,1840003478
229,Huntington Beach,Huntington Beach,CA,California,33.696,-118.0018,199778,2857.0,America/Los_Angeles,1840020578
230,Glendale,Glendale,CA,California,34.1819,-118.2468,199357,2525.0,America/Los_Angeles,1840020483
231,Aurora,Aurora,IL,Illinois,41.7638,-88.2902,199326,1709.0,America/Chicago,1840007034
232,Huntington,Huntington,WV,West Virginia,38.4109,-82.4345,199133,1098.0,America/New_York,1840006211
233,Sunrise Manor,Sunrise Manor,NV,Nevada,36.1783,-115.0487,198187,2269.0,America/Los_Angeles,1840033833
234,North Port,North Port,FL,Florida,27.0576,-82.1977,195848,267.0,America/New_York,1840015120
235,Hagerstown,Hagerstown,MD,Maryland,39.6401,-77.7217,194602,1270.0,America/New_York,1840005613
236,Grand Prairie,Grand Prairie,TX,Texas,32.6871,-97.0208,193835,1031.0,America/Chicago,1840020709
237,Overland Park,Overland Park,KS,Kansas,38.887,-94.687,193412,993.0,America/Chicago,1840003834
238,Paradise,Paradise,NV,Nevada,36.0872,-115.1355,193150,1758.0,America/Los_Angeles,1840033743
239,Tempe,Tempe,AZ,Arizona,33.3881,-111.9319,191607,1852.0,America/Phoenix,1840021942
240,Salinas,Salinas,CA,California,36.6883,-121.6317,190345,2564.0,America/Los_Angeles,1840021632
241,Erie,Erie,PA,Pennsylvania,42.1167,-80.0733,189513,1948.0,America/New_York,1840000478
242,Cedar Rapids,Cedar Rapids,IA,Iowa,41.9662,-91.6783,188618,712.0,America/Chicago,1840000471
243,Waterbury,Waterbury,CT,Connecticut,41.5582,-73.0361,188607,1460.0,America/New_York,1840004851
244,Frisco,Frisco,TX,Texas,33.156,-96.8216,188387,1059.0,America/Chicago,1840020654
245,Waco,Waco,TX,Texas,31.5599,-97.1882,186695,599.0,America/Chicago,1840022140
246,Gastonia,Gastonia,NC,North Carolina,35.2494,-81.1854,184902,572.0,America/New_York,1840013468
247,Clarksville,Clarksville,TN,Tennessee,36.5692,-87.3413,183798,606.0,America/Chicago,1840014421
248,Vancouver,Vancouver,WA,Washington,45.6366,-122.5967,182792,1448.0,America/Los_Angeles,1840021189
249,Lorain,Lorain,OH,Ohio,41.4409,-82.184,182015,1044.0,America/New_York,1840000644
250,Nampa,Nampa,ID,Idaho,43.5844,-116.5638,181887,1116.0,America/Boise,1840020041
251,Fort Lauderdale,Fort Lauderdale,FL,Florida,26.1412,-80.1464,181818,2029.0,America/New_York,1840014236
252,Hemet,Hemet,CA,California,33.7341,-116.9969,180380,1116.0,America/Los_Angeles,1840020550
253,Newport News,Newport News,VA,Virginia,37.1051,-76.5185,179582,1005.0,America/New_York,1840003862
254,Ontario,Ontario,CA,California,34.0393,-117.6064,178194,1376.0,America/Los_Angeles,1840020410
255,Rancho Cucamonga,Rancho Cucamonga,CA,California,34.1247,-117.5667,178060,1714.0,America/Los_Angeles,1840020411
256,Vallejo,Vallejo,CA,California,38.1125,-122.2342,177255,1539.0,America/Los_Angeles,1840021499
257,Oceanside,Oceanside,CA,California,33.2247,-117.3083,175694,1643.0,America/Los_Angeles,1840020623
258,Vero Beach South,Vero Beach South,FL,Florida,27.6132,-80.4163,174748,939.0,America/New_York,1840073853
259,Ocala,Ocala,FL,Florida,29.178,-82.1511,174618,490.0,America/New_York,1840015067
260,Sioux Falls,Sioux Falls,SD,South Dakota,43.5396,-96.7311,173921,883.0,America/Chicago,1840002648
261,Danbury,Danbury,CT,Connecticut,41.4015,-73.4709,173508,777.0,America/New_York,1840004837
262,Elk Grove,Elk Grove,CA,California,38.4161,-121.3842,173370,1594.0,America/Los_Angeles,1840020245
263,High Point,High Point,NC,North Carolina,35.991,-79.9937,173324,770.0,America/New_York,1840014479
264,Garden Grove,Garden Grove,CA,California,33.7787,-117.9601,172800,3715.0,America/Los_Angeles,1840020577
265,Peoria,Peoria,AZ,Arizona,33.7843,-112.2989,172109,377.0,America/Phoenix,1840020567
